experiment,tag,bin_size,Hz,day
stationarity 4 - 22-12-2023,81,0.295718480474179,3.38159454355548,22-12-2023
stationarity 4 - 22-12-2023,82,0.146695578382129,6.81683804671392,22-12-2023
stationarity 4 - 22-12-2023,83,0.146266101780584,6.83685411606931,22-12-2023
stationarity 4 - 22-12-2023,84,0.148098797322958,6.75224929625394,22-12-2023
stationarity 4 - 22-12-2023,85,0.146895229917978,6.80757299306704,22-12-2023
stationarity 4 - 22-12-2023,86,0.145810490533987,6.85821710315768,22-12-2023
stationarity 4 - 22-12-2023,87,0.147075873811532,6.79921168635338,22-12-2023
stationarity 4 - 22-12-2023,88,0.150285091624638,6.65401996425344,22-12-2023
rec e 1,1,0.13437373744805,7.4419303875254,16-11-2024
rec e 1,2,0.132343966818716,7.55606790424982,16-11-2024
rec e 1,3,0.130917695324117,7.63838683169812,16-11-2024
rec e 1,4,0.131488275856807,7.60524079796297,16-11-2024
rec e 1,5,0.131133241640342,7.62583146341099,16-11-2024
rec e 1,6,0.133475524395496,7.49201027326134,16-11-2024
rec e 1,7,0.131308115496104,7.61567551420437,16-11-2024
rec e 1,8,0.130776712339218,7.64662134498477,16-11-2024
